Price,Address,Type,Architectural style,Number of bedrooms,Number of bathrooms,Number of parking spaces,Size of the house,Additional information,Property description,Neighborhood description,Property_ID
"R$1,250,000","Street: Rua das Flores, number:100, neighborhood: Jardim Botanico, CEP: 22470-010, city:Rio de Janeiro, state:Rio de Janeiro, Country:Brazil",Apartment,Neoclassical,4.0,3.0,2.0,180 m²,"swimming pool, gym, sauna, 24-hour concierge, Wi-Fi, cable TV, 1 suite.","Discover luxury living in this exquisite neoclassical apartment in Jardim Botanico. It features 4 spacious bedrooms, 3 modern bathrooms, and a large living area with elegant finishes. The property offers an inviting swimming pool, a fully equipped gym, and a relaxing sauna. Enjoy the convenience of 24-hour concierge service, Wi-Fi, and cable TV. The master suite includes a private bathroom with a hydromassage tub.","Jardim Botanico is one of Rio de Janeiro's most prestigious neighborhoods, known for its beautiful botanical gardens and vibrant cultural scene. Enjoy high-end dining, boutique shopping, and easy access to the city's best parks and recreational facilities. The area is well-connected, with excellent public transport options and a tranquil, green atmosphere.",1
"R$850,000","Street: Rua dos Coqueiros, number:45, neighborhood: Boa Viagem, CEP:51021-000, city:Recife, state:Pernambuco, Country:Brazil",House,Modern,3.0,2.0,1.0,300 m²,"swimming pool, barbecue, air conditioning, Wi-Fi, cable TV, 1 suite.","This modern 3-bedroom house in Boa Viagem offers the perfect blend of comfort and style. Featuring 2 bathrooms, a spacious living area, and a fully equipped kitchen, it is ideal for families. The property includes a swimming pool, a barbecue area, and air conditioning throughout. Enjoy high-speed Wi-Fi and cable TV.","Boa Viagem is a bustling, upscale neighborhood in Recife, famous for its long, sandy beaches and vibrant nightlife. Residents enjoy a variety of restaurants, bars, and shopping centers. The area is well-serviced by public transport and offers excellent schools and healthcare facilities. Boa Viagem is perfect for those seeking a lively and convenient urban lifestyle.",2
"R$600,000","Street: Avenida Paulista, number:1500, neighborhood: Bela Vista, CEP:01310-100, city:São Paulo, state:São Paulo, Country:Brazil",Flat,Art Deco,2.0,2.0,1.0,120 m²,"gym, 24-hour concierge, Wi-Fi, cable TV, 1 suite.","Live in style in this charming Art Deco flat located on the famous Avenida Paulista. The 2-bedroom, 2-bathroom property features a spacious living room, modern kitchen, and a comfortable suite. The building offers a gym, 24-hour concierge service, Wi-Fi, and cable TV.","Bela Vista is at the heart of São Paulo's cultural and financial district. The area is known for its theaters, museums, and diverse dining options. Residents enjoy easy access to public transport, parks, and shopping malls. Bela Vista is a vibrant and cosmopolitan neighborhood, perfect for professionals and culture enthusiasts.",3
"R$950,000","Street: Rua das Palmeiras, number:200, neighborhood: Lagoa da Conceição, CEP:88062-000, city:Florianópolis, state:Santa Catarina, Country:Brazil",House,Colonial,4.0,3.0,2.0,400 m²,"swimming pool, barbecue, leisure area, air conditioning, Wi-Fi, cable TV, 2 suites.","Experience the charm of this colonial-style house in Lagoa da Conceição. The property features 4 spacious bedrooms, 3 bathrooms, and a large living area. Enjoy the outdoor swimming pool, barbecue area, and leisure area equipped with a pool table and table tennis. The house is fully air-conditioned and includes Wi-Fi and cable TV.","Lagoa da Conceição is a picturesque neighborhood in Florianópolis, known for its stunning lake and lush landscapes. The area offers a relaxed lifestyle with plenty of outdoor activities, including water sports and hiking. Residents enjoy a variety of cafes, restaurants, and boutique shops. It is a perfect place for nature lovers and those seeking tranquility.",4
"R$1,500,000","Street: Avenida Atlântica, number:1800, neighborhood: Copacabana, CEP:22021-001, city:Rio de Janeiro, state:Rio de Janeiro, Country:Brazil",Penthouse,Art Nouveau,3.0,3.0,2.0,250 m²,"swimming pool, gym, sauna, 24-hour concierge, Wi-Fi, cable TV, 2 suites.","This luxurious Art Nouveau penthouse in Copacabana offers breathtaking ocean views. The property features 3 bedrooms, 3 bathrooms, and a stylish living area. Amenities include a swimming pool, gym, sauna, and 24-hour concierge service. Enjoy high-speed Wi-Fi, cable TV, and two suites with private bathrooms.","Copacabana is one of Rio de Janeiro's most iconic neighborhoods, famous for its stunning beach and vibrant atmosphere. The area offers a wide range of restaurants, bars, and shops. Residents have easy access to public transport and enjoy a bustling nightlife. Copacabana is perfect for those seeking an energetic, urban lifestyle with a beachside charm.",5
"R$700,000","Street: Rua das Acácias, number:50, neighborhood: Jardim América, CEP:01402-000, city:São Paulo, state:São Paulo, Country:Brazil",Apartment,Beaux Arts,3.0,2.0,1.0,140 m²,"gym, Wi-Fi, cable TV, 1 suite.","This elegant Beaux Arts apartment in Jardim América offers luxurious living with 3 bedrooms and 2 bathrooms. The spacious living area and modern kitchen are perfect for families. Building amenities include a gym, Wi-Fi, and cable TV. The master suite features a private bathroom with a hydromassage tub.","Jardim América is one of São Paulo's most prestigious neighborhoods, known for its upscale residences and tree-lined streets. The area offers excellent shopping, dining, and cultural experiences. Residents enjoy easy access to parks and recreational facilities. Jardim América is perfect for those seeking a sophisticated and tranquil urban lifestyle.",6
"R$950,000","Street: Rua do Sol, number:75, neighborhood: Centro, CEP:58010-000, city:João Pessoa, state:Paraíba, Country:Brazil",House,Baroque,5.0,4.0,3.0,500 m²,"swimming pool, barbecue, leisure area, air conditioning, Wi-Fi, cable TV, 2 suites.","This stunning Baroque-style house in Centro João Pessoa offers a luxurious living experience. Featuring 5 spacious bedrooms and 4 bathrooms, it is perfect for large families. The property includes a swimming pool, a barbecue area, and a leisure area with a pool table. The house is fully air-conditioned and comes with Wi-Fi and cable TV.","Centro is the historic heart of João Pessoa, known for its beautiful colonial buildings and vibrant culture. The area offers a variety of restaurants, shops, and cultural attractions. Residents enjoy easy access to public transport and a lively urban lifestyle. Centro is ideal for those who appreciate history and culture.",7
"R$1,100,000","Street: Rua das Pedras, number:15, neighborhood: Praia do Forte, CEP:28950-000, city:Cabo Frio, state:Rio de Janeiro, Country:Brazil",Beach House,Tropical,4.0,4.0,2.0,350 m²,"swimming pool, barbecue, leisure area, air conditioning, Wi-Fi, cable TV, 3 suites.",This beautiful tropical-style beach house in Praia do Forte offers an,,8
"R$1,500,000","Street: Rua das Palmeiras, number: 200, neighborhood: Jardim Paulista, CEP: 01422-000, city: São Paulo, state: São Paulo, Country: Brazil",Apartment,Art Deco,4.0,3.0,2.0,220 m²,"swimming pool, gym, 24-hour concierge, Wi-Fi, cable TV, 2 suites.","This stunning 220 m² Art Deco apartment in Jardim Paulista is a rare find. Featuring 4 spacious bedrooms and 3 modern bathrooms, the apartment blends classic elegance with contemporary comforts. The generous living area opens up to a balcony overlooking the city. With a state-of-the-art kitchen, two suites, and ample storage space, this property is perfect for families or professionals seeking luxury and convenience.","Jardim Paulista is a prestigious and vibrant neighborhood in São Paulo, known for its tree-lined streets, upscale shopping, and dining options. The area offers excellent schools, hospitals, and easy access to public transportation, making it a prime location for families and professionals alike.",9
"R$950,000","Street: Avenida Atlântica, number: 1550, neighborhood: Copacabana, CEP: 22070-000, city: Rio de Janeiro, state: Rio de Janeiro, Country: Brazil",Flat,Modernist,2.0,2.0,1.0,90 m²,"24-hour concierge, swimming pool, gym, Wi-Fi, air conditioning, ocean view.","Located on Avenida Atlântica, this 90 m² modernist flat offers stunning ocean views from its spacious balcony. With 2 bedrooms, 2 bathrooms, and a sleek, open-plan kitchen, the flat provides the ultimate in modern living. Additional features include a swimming pool, gym, and 24-hour concierge for added security and convenience.","Copacabana is one of Rio de Janeiro's most iconic neighborhoods, known for its famous beach, vibrant nightlife, and cultural landmarks. The area offers a plethora of dining, shopping, and entertainment options, as well as excellent public transportation links.",10
